Time,Amount,Balance,"Balance, USD",Price
2019-07-30 22:12:13+00:00,1016.2424857000001,"147,392.90700314 BTC","$1,414,827,033 @ $9,599.02",9599.02
2019-07-30 04:28:04+00:00,-21338.76988685,"146,376.66451744 BTC","$1,382,083,936 @ $9,441.97",9441.97
2019-07-29 08:50:26+00:00,-5395.48270585,"167,715.43440429 BTC","$1,598,589,521 @ $9,531.56",9531.56
2019-07-27 16:48:05+00:00,1239.91041426,"173,110.90516762 BTC","$1,635,421,778 @ $9,447.25",9447.25
2019-07-27 12:34:18+00:00,1115.75228285,"171,870.99475336 BTC","$1,623,618,562 @ $9,446.73",9446.73
2019-07-20 18:33:05+00:00,1275.47257881,"170,755.24244551 BTC","$1,864,556,428 @ $10,919.47",10919.47
2019-07-19 03:12:18+00:00,1899.30646913,"169,479.7698667 BTC","$1,791,873,208 @ $10,572.79",10572.79
2019-07-18 22:23:14+00:00,1270.61853701,"167,580.46339757 BTC","$1,786,773,106 @ $10,662.18",10662.18
2019-07-18 20:39:00+00:00,1105.49480477,"166,309.84486056 BTC","$1,763,708,801 @ $10,604.96",10604.96
2019-07-11 04:33:07+00:00,1047.87324209,"165,204.35005579 BTC","$1,879,289,272 @ $11,375.54",11375.54
2019-07-11 00:41:17+00:00,1045.41837244,"164,156.4768137 BTC","$1,961,402,821 @ $11,948.37",11948.37
2019-07-10 18:17:49+00:00,222.72113631,"163,111.05842126 BTC","$1,982,896,723 @ $12,156.73",12156.73
2019-07-10 18:16:05+00:00,2000.0,"162,888.33728495 BTC","$1,980,189,163 @ $12,156.73",12156.73
2019-07-10 17:54:23+00:00,2659.98940758,"160,888.33728495 BTC","$1,974,064,424 @ $12,269.78",12269.78
2019-07-10 12:50:55+00:00,90530.02057689,"158,228.34787737 BTC","$2,066,860,271 @ $13,062.52",13062.52
2019-07-10 06:53:31+00:00,1460.8753974,"67,698.32730048 BTC","$872,523,250 @ $12,888.4",12888.4
2019-07-09 08:35:52+00:00,1379.95725925,"66,237.45190308 BTC","$831,917,952 @ $12,559.63",12559.63
2019-07-09 06:32:55+00:00,1375.89754188,"64,857.49464383 BTC","$821,603,404 @ $12,667.83",12667.83
2019-07-09 04:31:16+00:00,1874.7162073,"63,481.59710195 BTC","$805,100,302 @ $12,682.42",12682.42
2019-07-04 16:43:14+00:00,1016.944545,"61,606.88089465 BTC","$728,957,735 @ $11,832.41",11832.41
2019-07-03 08:13:24+00:00,1356.80769092,"60,589.93634965 BTC","$670,572,513 @ $11,067.39",11067.39
2019-07-03 00:29:26+00:00,1051.72505988,"59,233.12865873 BTC","$671,280,073 @ $11,332.85",11332.85
2019-07-02 18:42:31+00:00,1471.88951087,"58,181.40359885 BTC","$626,853,049 @ $10,774.11",10774.11
2019-07-02 08:28:16+00:00,1270.70522536,"56,709.51408798 BTC","$579,935,206 @ $10,226.42",10226.42
